Country,Year,GarmentMinWage,RealWage,LogRealWage,USDWage,RealUSDWage,BangladeshCPI,WRI,BangladeshUnemploy,GDPPerCapita,GDPPerCapitaLCU,RealGDPPerCapitaLCU,BangladeshGDP,BangladeshGDPLCU,RealBangladeshGDPLCU,BDTperUSD,RMGExports,RealUSDExports,LocExports,LogExports,RealLocExports,SecondarySchoolEnrollment,PerTotalExports,TanneryMinWage,RealTanneryMinWage,PlasticsMinWage,RealPlasticsMinWage
Bangladesh,2023,12500,5269.824056,8.569752255,117.5812307,49.57059185,237.19957,,4.454,2551.017738,2882.337786,1215.15304,437.415333,44908.417,18932.7565,106.3094843,35887,15129.45407,3815.128463,8.246729616,1608.40446,71.49470683,81.29,"12,800","5,396",8000,3372.687396
Bangladesh,2022,8000,3706.027057,8.217715708,87.19778052,40.39466674,215.864587,,4.593,2716.485928,2619.070703,1213.293361,460.1316891,39717.164,18399.11055,91.74545444,45709,21174.84884,4193.592977,8.341313158,1942.69613,71.82198326,82.15,"12,800","5,930",8000,3706.027057
Bangladesh,2021,8000,3991.278279,8.291866829,94.02499013,46.9099876,200.437039,,5.327,2482.849178,2344.7878,1169.837577,416.2716479,35301.848,17612.43739,85.08376325,35812,17866.95721,3047.01973,8.021919254,1520.187958,70.29333286,81.82,"12,800","6,386","5,100",2544.439903
Bangladesh,2020,8000,4212.620764,8.345840242,94.26026653,49.63534451,189.905535,,5.436,2248.850788,2105.576124,1108.749213,373.9794424,31704.694,16694.98153,84.87139167,27471,14465.61313,2331.502001,7.754267974,1227.716717,69.01357086,81.16,"12,800","6,740","5,100",2685.545737
Bangladesh,2019,8000,4452.364161,8.401190506,94.72665868,52.71969753,179.679822,,4.441,2129.79897,1906.49854,1061.053222,351.2316546,29514.285,16426.0431,84.4535225,34026,18937.01787,2873.615557,7.963326292,1599.297865,67.22091891,83,"12,800","7,124","5,100",2838.382153
Bangladesh,2018,8000,4701.340222,8.455602901,95.84717905,56.32627476,170.164243,,4.407,1965.243727,1789.687602,1051.741289,321.3627524,26392.481,15510.00406,83.46620192,32927,19350.12869,2748.291631,7.918734772,1615.081748,67.42136973,84.21,"12,800","7,522","5,100",2997.104392
Bangladesh,2017,5300,3287.301621,8.097822331,65.88963176,40.86775345,161.226459,,4.372,1811.082217,1613.99096,1001.070773,293.7324466,23243.072,14416.41288,80.43754167,29213,18119.23439,2349.821905,7.762094819,1457.466671,64.85595207,83.49,"8,750","5,427","5,100",3163.252503
Bangladesh,2016,5300,3474.745875,8.153276626,67.5433783,44.28227832,152.52914,,4.35,1649.283809,1433.110807,939.5652575,265.2245157,20758.211,13609.34114,78.46809167,28668,18795.09712,2249.523252,7.718473585,1474.815404,66.92324831,81.23,"8,750","5,737","5,100",3343.623389
Bangladesh,2015,5300,3666.326872,8.206945588,67.99499959,47.03620644,144.558851,,4.396,1224.386477,1290.837735,892.9496368,195.146609,15158.023,10485.71076,77.94690833,26603,18402.88562,2073.621602,7.637051924,1434.448038,62.03123093,82.01,"8,750","6,053","5,100",3527.974915
Bangladesh,2014,5300,3893.429432,8.26704565,68.26254333,50.14630099,136.126777,8899,4.416,1094.461997,951.0428324,698.6449348,172.8866117,13436.744,9870.757463,77.64140833,24584,18059.63569,1908.736382,7.554196722,1402.175549,,81.68,"8,750","6,428","5,100",3746.507566
Bangladesh,2013,5300,4165.643955,8.334626154,67.85890495,53.33510136,127.231229,8097,4.426,958.2629898,850.6156452,668.558853,149.9989574,11989.23172,9423.18314,78.103235,23501,18471.09407,1835.504126,7.515074451,1442.652201,57.95901614,81.13,"8,750","6,877","5,100",4008.449844
Bangladesh,2012,3000,2535.472014,7.838135098,36.64674543,30.97226581,118.321164,7422,4.071,859.6805364,765.9277924,647.3294942,133.3107476,10552.04039,8918.134367,81.86265833,19380,16379.14921,1586.498318,7.369284551,1340.840696,53.65340042,79.61,"8,750","7,395","5,100",4310.302424
Bangladesh,2011,3000,2693.115092,7.898453829,40.45722054,36.3186504,111.395165,6469,3.736,837.3369447,680.4690473,610.8604869,128.6074823,9158.288,8221.441209,74.1524,19214,17248.50446,1424.764214,7.261761615,1279.018002,51.50349583,78.55,"8,750","7,855",520,466.8066159
Bangladesh,2010,3000,3000,8.006367568,43.07294343,43.07294343,100,5782,3.379,757.3852804,596.2773514,596.2773514,115.2755401,7975.387,7975.387,69.64929167,14855,14855,1034.640228,6.941809039,1034.640228,51.1863395,78.15,1440,"1,440",520,520
Bangladesh,2009,"1,663",1797.605996,7.494211056,24.08056887,26.03751879,92.4841152,5441,5,679.2114774,524.00021,566.5840116,102.4751582,7050.718,7623.707039,69.03906667,11892,12858.42436,821.0125808,6.710538433,887.7336168,49.73410034,77.12,1440,"1,557",520,562.2587175
Bangladesh,2008,"1,663",1895.09866,7.547026179,24.23530329,27.62603957,87.7263034,5025,4.492,613.062041,467.325806,532.7088774,91.63699737,6286.822,7166.40478,68.598275,11672,13305.01748,800.6790658,6.6854602,912.7012478,45.9643898,79.33,1440,"1,641",520,592.7526635
Bangladesh,2007,"1,663",2063.799297,7.632303882,24.13797484,29.96447249,80.5553138,4227,4.017,537.9554928,420.595615,522.1202614,79.61164497,5497.997,6825.120207,68.874875,8855,10992.44678,609.8870181,6.413273724,757.1033981,47.90071869,75.83,1440,"1,788",520,645.5191786
Bangladesh,2006,"1,663",2251.749189,7.719462611,24.11753982,32.66565458,73.831491,3779,3.591,490.3880265,371.5131984,503.1907027,71.79573617,4823.36966,6532.943592,68.93323333,8318,11266.19534,573.3866348,6.351560245,776.6152723,47.08378983,75.64,1440,"1,950",520,704.3065133
Bangladesh,2005,930,1344.842038,7.204031842,14.45727506,20.90618415,69.153103,3505,4.25,480.0858508,329.4516994,476.4091344,69.47600124,4270.741,6175.776378,64.327475,6890,9963.399618,443.2163028,6.094057919,640.9203398,46.60287857,75.06,1440,"2,082",520,751.9546881
Bangladesh,2004,930,1439.607923,7.27212608,15.62692755,24.18994485,64.6009226,3293,4.314,455.6140169,295.1123107,456.8236781,65.10854425,3832.94,5933.258916,59.51265833,6296,9745.990841,374.6916968,5.926103546,580.009823,47.86413956,74.15,1440,"2,229",520,804.9420644
Bangladesh,2003,930,1548.838696,7.345260701,15.99311024,26.63521291,60.0449874,3111,4.32,426.7488075,268.2199718,446.6983564,60.15892919,3483.202,5800.987145,58.15004,5654,9416.273106,328.7803262,5.795389826,547.5566578,51.25708008,74.79,1440,"2,398",520,866.0173355
Bangladesh,2002,930,1636.637835,7.400399316,16.0655058,28.27248886,56.8238116,2926,3.966,393.8864223,247.0875596,434.83102,54.72408149,3142.804,5530.787027,57.888,4818,8478.839881,278.904384,5.630869013,490.823083,51.41809845,75.01,1440,"2,534",520,915.1093272
Bangladesh,2001,930,1691.179855,7.433181703,16.66467566,30.30426212,54.9911943,2637,3.61,394.65641,226.2089723,411.3549,53.99128984,2913.37,5297.884574,55.80666667,4772,8677.752976,266.3094133,5.584658841,484.2764678,50.31414032,76.57,1440,"2,619",520,945.6059404
Bangladesh,2000,930,1725.124773,7.453054659,17.83602365,33.08534007,53.9091441,2489,3.27,396.6707302,212.9565988,395.0287142,53.36978732,2685.034,4980.665237,52.14166667,5067,9399.147556,264.201825,5.5767133,490.0872188,48.71913147,75.14,1440,"2,671",520,964.5858948
Bangladesh,1999,930,1763.219946,7.474896931,18.94657067,35.92147454,52.7444124,2390,3.087,388.0956843,199.5650444,378.3624375,51.27056988,2465.089,4673.649564,49.0854,3868,7333.478228,189.8623272,5.246299216,359.9667122,46.97890854,75.61,1440,"2,730",520,985.8864216
