Country,Year,GarmentMinWage,RealMinWage,Unemploy,GDPPC,RealGDPPC,GDP,RealGDP,RMGExports,RealExports,CPI,School
Bangladesh,2023,117.5812307,49.57059185,4.454,2551.017738,1075.473172,4374.15333,1844.081475,35887,15.12945407,237.19957,71.49470683
Bangladesh,2022,87.19778052,40.39466674,4.593,2716.485928,1258.421293,4601.316891,2131.575612,45709,21.17484884,215.864587,71.82198326
Bangladesh,2021,94.02499013,46.9099876,5.327,2482.849178,1238.717749,4162.716479,2076.819983,35812,17.86695721,200.437039,70.29333286
Bangladesh,2020,94.26026653,49.63534451,5.436,2248.850788,1184.194441,3739.794424,1969.291956,27471,14.46561313,189.905535,69.01357086
Bangladesh,2019,94.72665868,52.71969753,4.441,2129.79897,1185.330075,3512.316546,1954.764039,34026,18.93701787,179.679822,67.22091891
Bangladesh,2018,95.84717905,56.32627476,4.407,1965.243727,1154.909923,3213.627524,1888.544542,32927,19.35012869,170.164243,67.42136973
Bangladesh,2017,65.88963176,40.86775345,4.372,1811.082217,1123.315756,2937.324466,1821.862543,29213,18.11923439,161.226459,64.85595207
Bangladesh,2016,67.5433783,44.28227832,4.35,1649.283809,1081.290964,2652.245157,1738.84489,28668,18.79509712,152.52914,66.92324831
Bangladesh,2015,67.99499959,47.03620644,4.396,1224.386477,846.9813285,1951.46609,1349.945767,26603,18.40288562,144.558851,62.03123093
Bangladesh,2014,68.26254333,50.14630099,4.416,1094.461997,804.0019908,1728.866117,1270.041174,24584,18.05963569,136.126777,
Bangladesh,2013,67.85890495,53.33510136,4.426,958.2629898,753.1664964,1499.989574,1178.947642,23501,18.47109407,127.231229,57.95901614
Bangladesh,2012,36.64674543,30.97226581,4.071,859.6805364,726.5653137,1333.107476,1126.685566,19380,16.37914921,118.321164,53.65340042
Bangladesh,2011,40.45722054,36.3186504,3.736,837.3369447,751.6815875,1286.074823,1154.515838,19214,17.24850446,111.395165,51.50349583
Bangladesh,2010,43.07294343,43.07294343,3.379,757.3852804,757.3852804,1152.755401,1152.755401,14855,14.855,100,51.1863395
